Wehrmacht	ver-mákt
Rocca	rokka
Roche	rósh
Rochelle	rosell
Roche-Vielsalm	rosh vjelszám
Rockefeller Center	rokefeller szentör
Rocky Mountainsban	roki máuntinszban
Roden	ro-den
Rodney	rodni
Rodosz	rodosz
Ródosz	rodosz
Rodrigo Duterte	rodrigó duterte
Roenne	rőn
Roger	ro-dzser
Roger Bushell	ro-dzser bushel
Roger Dumont	ro-dzser dümón
Roger Keyes	rodzs-er kéjnsz
Roger Mortimer	ro-dzser mort-imer
Roger Penrose	rodzser penróz
Roger Scholl	rodzser sholl
Rogerius	rodzserijusz
Roggendorf	rógen-dorf
Rogner	rágnör
Rohm	róm
Röhm	rőm
Röhmékkel	rőmékkel
Röhmöt	rőmöt
Rokolból	?? Pokolból
Róle	ról
Rolex Super	roleksz szuper
Rolf Landauer	rolf land-auer
Rolland	roland
Rolls-Royce	rolsz rojsz
Roma	róma
Romain Rolland	romen rol-an
Romam	rómám
Roman Law	romen ló
Roman Society	romen szoszájöti
Romana	románá
Romanát Britannia	románát britannika
Romani	románi
Romanov	roma-nov
Romanum	románum
Romanus	románusz
Romeót	rómeót
Romer	rómer
Rominá	rom-iná
Rommel	rom-mel
Romnod	romnó
Romulus	romulsz
Romulust	romuluszt
Rónáid Reagan	ronáld régen
Ronald Reagan	ronáld régen
Ronnie Knoxot	roni noksz
Roose	rúszi
Roosevehhez Írott	rózvelthez írott
Roosevelt Franklin Delano	rózvelt frenklin delánó
Roosta	rúszta
Roostát	rúsztát
Root	rút
Roper	ropör
Ropes	rópsz
Rorschach	ror-sach
Rosa	róza
Rosa Parks	rósza párksz
Roscoe	roszkó
Rose	róz
ROSEBUD	rózbád
Rosen	rózen
Rosenberg	rózen-berg
Rosencranz	rózen-kránc
Rosensweig	rózenvájg
Rosent	rózent
Rosnernek	rosznernek
Ross	rossz
Rossellino	rossze-línó
Rossini	rosszíni
Rosslynban	rosszlinban
Rost	roszt
Rosythba	roszitba
Rothari	rotári
Rothermere	roter-mer
Rothman	rótman
Rőtszakállra	rőtsza-kállra
Rottenführer	róten-fűrer
Rotterdam	rotter-dám
Rotterdami Erasmus	rotter-dámi erászmusz
Rougier	ruzsijé
Rousseau	russzó
Route	rút
Rowland	rólánd
Rowls	rólz
Royal Astronomical Society	rojöl asztronomiköl szoszájöti
Royal Bank	rójöl benk
Royal Institution	rojöl insztitúsön
Rubicon	rubikon
Rubicót	rubikót
Ruchi Sanghvi	rúcsi szángvi
Rückkehr	rükk-éhr
Rücksprache	rükk-spráhe
Rudi Mandl	rudi mendöl
Rudnam	rudnám
Rudolf Clausius	rudolf klauziusz
Rudolf Hilferding	rudolf hilferding
Rudolf Höss	rud-olf hössz
Rudy Giuliani	rudi dzsulijáni
Rudyard Kipling	rádzsörd kipling
Ruggero Perugini	rudzseró perudzsíni
Ruhr	rúr
Runciman	ránszimen
Runstedt	rund-stett
Rusd	rúsd
Russcllnek	rásszelnek
Russel	rásszöl
Russell	rásszel
Russell Hulse	rásszel hálsz
Ruth Martin	rút mártin
Ruther Burbank	rúter börbenk
Rutherford Aplleton	rádörford öpplítön
Ruveiszat	ruvejszát
RX	eriksz
Ryan	rájen
Rybovich	ribovics
Rydz-Smigli	ridz szmígli
SA	esszá
Saab	száb
Saar	szár
Saarbrücken	szárbrükken
Saarlauternnél	szárlauternnél
Saarlouis	szárlujísz
Sabahban	szábáhban
Sacha Baron Cohen	száshá báron kóen
Sachsenhausen	szákszen-hauzen
Sacra	szákrá
sacra corona regni	szákrá koroná regni
Sacramento	szákrá-mentó
Sacramentó	szákrá-mentó
Sacrum Palatium	szákrum plácijum
Sadducees	száddutse-esz
Sadowa	szadova
Saducismus Triumphatusának	száducizmusz triumfátuszának
Safari Arms	száfári ármsz
Safeway	széfvéj
Sagittarius	szágitáriusz
Sagresban	szágreszban
Saguntum	száguntum
Said	szájid
Saigon	szájgon
Saint Denis	szent denisz
Saint-Antoine	szen-ántoán
Saint-Cloude	szen-klód
Saint-Germain	szen-zsörmen
Saint-Just	szen-zsüszt
Saint-Valéry	szen váleri
Saipan	szájpán
Sajó	sajó
Sajtinak	sajt-inak
Sakita	szákitá
Salamon	szálámon
Saldarini	száldáríni
Salef	szálef
Salem	szálem
Salesforce	szélszforsz
Salisbury	szálsz-börri
Sallustius	szállusztijusz
Salm	szálm
Salom Nagar	sáltom nágár
Salt Lake Cityben	szált léjk sziti
Salvador	szálvádor
Salvador Dali	szálvádor dáli
Salvadornak	szálvádornak
Salvius Othót	szálvijusz ottót
Salza	szálzá
Salzburg	záltz-burg
Salzburgnál	zálcburgnál
Salzburgot	záltz-burgot
Samas	számász
Samidh Chakrabarti	számid csakrabati
Samnél	szemnél
Samo	számó
Samoán	szamoán
Samriában	szamrijában
Samriát	szamriját
Samsung	szamszung
Samu	sa-mu
Samuel Braunstein	szemjuöl braun-sztín
Samuel Hoare	szemju-el hoáre
Samuel Huntington	szemju-el hántington
San Diego	szándijégó
San Diegóba	szándijégóba
San Francisc	szán fránsziszk
San Francisco	szán fránsziszkó
San Franciscó	szánfránsziszkó
Sancta Clara	szánktá klárá
Sanctam	szánktám
Sancti	szánkti
Sanctio	szanktzió
Sanctiónak	szankciónak
Sanctiót	szankciót
Sandage	szendridzs
Sandberg	szendberg
Sanders	szendörsz
Sandford	szenford
Sandomierztől	szándomírztől
Sandra Faber	szándrá fáber
Sandro Botticelli	szándró boticselli
Sanduleak	szanduleák
Sandy Hook	szendi húk
Sandy Parakilas	szendi párákilász
Sanghajban	sháng-hájban
Sanghajt	sáng-hájt
Sanghvi	szángvi
Sang-Jindinasztiát	sáng-jung dinasztiját
Sangok	sangok
Sanjurjo	szánhurhó
Sankara	szankara
Sankt Gallen	szánkt gállen
Sanlúcar	szánlúkár
Sansu	szánszu
Santa	szántá
Santa Croce	szántá krócse
Santa Crocé	szántá krócsé
Santa Maria Novella	szántá máríjá novellá
Santa Maria Novellá	szántá máríjá novellá
Santa Monica	szántá mónika
Santa Reparata	szántá repárátá
Santa Trinitá	szántá trinitá
Santagrinus	szántágrínusz
Santagrius	szántágrijusz
Santiago	szántijágó
Santo Spirito	szántó szpiritó
Santo Spiritó	szántó szpiritó
Santraginus	szántrágínusz
Santung	szántung
Santungot	szántungot
Sanvalvwag	szánválvág
Sanyiki	shanyiki
Sao Pauló	szao paoló
Sapiens	szápijensz
Saquo-Pilia Henshán	szákkuó pílija hensán
Sara Lippincot	szárá lipinkot
Sarah	szárá
Sarah Bernhardt	szárá bernárt
Sarai Aharoninak	szárá áhároninak
Saratoga	szaratóga
Sark	szárk
Sárkány Burger Bárok	sárkány bur-ger bárok
Sarnath	szárnát
Sarnathra	szárnátrá
Sarraut	száró
Sarritor	szarritor
Sarrukín	szattukin
SARS	szársz
Satre	szátrö
Saturday Night Live	szátördéj nájt lájv
Saturnalia	szaturnálija
Saturni	szaturni
Saturnia	szaturnia
Saturnus	szaturnusz
Satyricon	szátürikón
Saul Perimutter	szól peri-mutter
Saulson	szólszon
Sauzin	szau-zin
Sava Kosanovich	szává koshánovics
Saverin	száverin
Savoi	szavoj
Savonarola	szavonaróla
Savonarolá	szavonarólá
Savoya	szavoja
Savoyá	szavojá
Savoyáért	Szavojáért
Saxaquine	szákszákín
Sayville	szájvill
Sbardellati	szbárdelátti
Scaevola	szkájevola
Scala	szkála
Scapa	szkápá
Scapa Flow	szkápá fló
Scapában	szkápában
Scapára	szkápára
Scapát	szkápát
Scaramia	szkárámijá
Scarlatti	szkárlátti
Scavino	szkávínó
Scharfenberg	sárfenberg
Scharnhorst	sárnhórszt
Schatz	shátc
Scheer	sér
Scheidemann	sáj-de-man
Scheiring	shájring
Schelde	selde
Scheldéig	seldéig
Schellenberg	sellen-berg
Scheppele	sheppel
Scherbius	ser-biusz
Scherk	shrek
Schick Brithaus	sikk brit-hausz
Schiff	shliff
Schiller	shil-ler
Schissler	shiszler
Schleicher	slájher
Schleswiget	shlesz-viget
Schleswig-Holsteinban	slezvig hols-tejnben
Schlick	shlikk
Schlieffen	slífen
Schliemann	slí-man
Schmalkaldenben	shmal-kaldenben
Schmarkle	smárköl
Schmerling	shmerling
Schmid	shmitt
Schmidt	shmitt
Schneckloth	sneklosz
Schnorchel	snorhel
Schrage	shréjdzs
Schreibmax	srájb-maksz
Schroepfer	srőpfer
Schuhmann	súman
Schulenburg	súlen-burg
Schulenburgnak Berlin	súlen-burgnak berlin
Schulenburgnál	súlenburgnál
Schumachcrek	súmáherek
Schuman	súman
Schumann	shú-man
Schumer	shrúmer
Schumpeter	shum-peter
Schuschnigg	sus-nig
Schutzhaft	succsáft
Schwarz	shvartc
Schwarzenberg	shvártzn-berg
Schwarzschild	shvartc-shíld
Schwechatnál	shvehát
Schweinhund	svájn-hund
Schwendi	shvendi
Science	szájensz
Sciences	szájensziz
sci-fi	szifi
Scipio	sztcípijó
Scipiók	sztcípijók
Scobie	szköübi
Scolari	szkólári
Scoresby	szkórszbi
Scorza	szkorcá
Scotland Yard	szkotland jard
Scott	szkot
Scott Russell	szkott rásszel
Scriptor	szkriptor
SD	eszdé
Sean	sén
Sean Parker	shén párkör
Seánnak	szeánnak
Search Team	szörcs tím
Sears Best	sírsz beszt
SEATO	szeátó
Seattle	szíjetöl
Sebag Montefiore	szebágh monte-fjóre
Sebastian	szebásztián
Secession	szeszessön
Secolo	szekkoló
Secor	szekor
Security Agency	szekjuriti édzsönszi
Sedan	szedán
Sedelmeier	zédel-meyer
Seeckt	sekt
Seetharaman	szíthármán
Segall	szegál
Segovia	szegóvija
Seherezádé	sehere-zádé
Seianust	szejjánuszt
Seitz	zájtc
Seizo Arisue	szejizó áriszu-e
Sektionnak	szekcijónnak
Selarn	szelárn
Selmán Waksman	szelmán vákszman
Selvan	szelván
Semmelweis	szemmelvejsz
Semper	szemper
Sempronius	szemprónijusz
Sempronius Gracchus	szemprónijusz gráhhusz
Seneca	szeneka
Senecát	szenekát
Seng	szeng
Sennyei	seny-nyei
Septimius Severus	szeptimusz szeverusz
Septuaginta	szeptuaginta
Sera	szerá
Será	szerá
Seranniáig	szeránijáig
Serannian	szerániján
Seraph	szeráf
Sergant	szördzsönt
Sergey Brin	szergej brin
Serie	szerí
Seriff	serif
Serrano Sunernek	szerránó szúnernek
Sertorius	szertórijusz
Sertoriusszal	szertórijusszal
Servco Supreme	szervkó szuprím
Servcónak	szervkó
Servetónak	szervetónak
Services	szörvisziz
Servilia Caepionis	szervília káe-pijónisz
Servius Sulpicius Galba	szervijusz szulpicijusz gálbá
Servius Tullius	szervijusz tullijusz
Sesefras Magna	szeszefrász mag-na
Sesefron	szeszefron
Sesefros Magna	szeszefrosz mag-na
Sesonk	szeszonk
Settlement	szetölment
Setyko	setykó
Severus	szeverusz
Sevillába	szevíjjába
Sevillát	szevíjját
Sevirjov	szevirjov
Sevorbenpstry	szevorbenpsztri
Sevorbeupstry	szevorbenpsztri
Sewanee	szivené
Sextiusféle	szeksztcijusz-féle
Sextus	szeksztusz
Sexus	szekszusz
Seychelle	szeshell
Seyss-Inquart	szejsz inkvárt
Sforzák	szfortzák
Shackleton	sekölton
Shaddad	sád-dád
Shakabao	sákábáó
Shakespeare	sékszpír
Shakespeare Cymbeline	sékszpír szimbölín
Shane	shéjn
Shang	sáng
Shangri	sángri
Shank	sánk
Sharp	sárp
Shavitnak	sávitnak
Sheehan	shíhán
Sheergawz	sérgóc
Sheerness	sérnessz
Sheldon Glashow	sheldon gláshó
Shelton	selton
Shenandoah	senendó
Sheraton Park	seráton park
Sherlock Holmes	serlok holmsz
Sherman	sörmen
Sherrin	serrin
Sherwood	servúd
Sheryl	sheril
Shiloh	siló
Shimon Gibson	shi-mon gibzon
Shinwell	sinvel
Ship Streeten	síp sztríten
Shirley	sőrli
Shoshana Zuboff	shosháná zúbov
Show	só
Shulman	súl-man
Shultze-Delitzsch	shultz delits
Siauliai	Szjaulijaui
Siauliau	Szjaulijau
Sibylla	szibilla
Sibyllát	szibüllát
Sicilia	szcília
Sidley Austin	szidni ósztin
Sidonia	szidónia
Siebel	zíbel
Siegbert	zígbert
Siegbert Heister	zígbert hájszter
Siegfried	szíkfríd
Siegfriedvonal	szígfríd vonal
Siemens	szímensz
Siemens-Martin	szímensz mártin
Sierra Leonéba	szijerra leónéba
Sierra Leonéból	szijerra leónéból
Siger	zíger
Sigismund	szigiszmund
Sigmond	zigmund
Sigmund Freud	zígmund frajd
Sigmund Freudnak	zigmund frajd
Signor	szinyór 
Signora	szinyórá
Signore	szinyóre
Signoria	szinyórija
Signoriá	szinyórijá
Signorina	szinyoríná
Sigurd	szigörd
Sikorski	szikorszki
Silah	sziláh
Silicon Slopes Tech Summiton	szilikon szlópsz tícs számiton
Silva	szilva
Silvá	szilvá
Silvanus	szilvánusz
Silverman	szilvörmen
Silviát	szilviját
Silvius	szilvijusz
SIM	szim
Simai	szimai
Simba	szimba
Simbával	szimbával
Simmonst	szimonszt
Simón Bolívar	szimón bolivár
Simonnak	shi-mon-nak
Simonoff	szájmo-nov
Simor	shi-mor
Simovic	simovics
SIMPLE	szimpöl
Simplicity	szimplisziti
Simpson	szimszon
Sinai	sínaji
Sinarába	szinarába
Sinclair	szinkler
Sindely	szindli
Sinderella	szinderellá
Sindhunak	szindunak
sine ira et studio	színe írá et sztúdijó
Singer	szingör
Sinn Fein	szinn fejn
Sinnustrán	szinnusztrán
Sinopnál	szinopnál
Sion	shi-on
Sipka	sipka
Sipper	szipper
Siracusát	szirakúzát
Siráz	sziráz
Sisatovac	shishatovács
Siscia	szisztcija
Sisuit	sziszvít
Sitt Thway Aung	szitt tváj óng
Sitter	szit-tör
Sitzkrieg	zicc-kríg
Siva	síva
Siva Vaidhyanathan	shíva vájdjá-nátán
Sivát	sívát
Sixtus	sziksztusz
Sixtusi	sziksztuszi
Skagerrakon	szkágerákón
Skaggerakból	szkágerákból
Skai	szkáj
Skerki	szkerki
Skibbereenben	szikörínben
Skip	szkip
Sklodowska	szkodovszka
Skóciában	skóci-ában
Skocpol	szkokpol
Skye	szkáj
Skymaster	szkájmásztör
Slaby	szléjbi
SLAC	szlek
Slammeréktől	slámmer-éktől
Slessor	szlesszor
Sligo	szlígó
Sloan	szlón
Slockfish	sztokfis
Sloman	szlóman
Sloof	szlúf
Smarr	szmárr
Smetona	szmetona
Smiley	szmájli
Smiljan	szmílján
Smith	szmisz
Smith Croydonból	szmisz krojdonból
Smithfieldnél	szmiszfíldnél
Smithonian Astrophysical Observatoryba	szmisz-szonien asztrofiziköl obszörvötribe
Smithonian Center	szmisz-szonien szenter
Smithsonian	szmisszonijen
SMS	esemes
Snapchat	sznep-cset
Snasu	sznászu
Sneed	szníd
SNL	eszenel
Sobieski	szobijeszki
Sobralba	szobrálba
Social Resposibility	szósöl riszponzibiliti
Societas Jesu	szoszijetász yezu
Society Foundations	szoszájöti fáundéjsön
Socorro Operations Centerbe	szokkoró oreréjshönz szenterbe
Sogliato	szojjátó
Soho	szohó
Sohó	szohó
Soklyósy	sokjósi
Solar	szolör
Soldner	szoldner
Solent	szolent
Solferino	szolferínó
Solingenben	szólingenben
Solliccianó	szoliccsánó
Sollum	szollám
Soltaut	szoltaut
Solymost	sojmosht
Someone Like You	számván lájk jú
Somersetben	számörszetben
Somsich	szomis
Somssich	som-sics
Sona	szoná
Sona-Nylt	szoná nült
Sonder	zonder
Sonderkommendo	zonder-kommandó
Sonderkommendó	zonder-kommandó
Song	szong
Sonny Metha	száni meta
Sonora	szonórá
Sony	szoni
Sophie	szofí
Sorbon	szorbon
Sorbonne	szorbon
Sorel	szorel
Sorge	zorge
Sosigenes	szoszigenész
Sotelónak	szotelónak
Souhanis	szólijánisz
Soulianis	szólijánisz
Sources	szorsziz
South	száusz
South Park Commonsban	száusz párk komonszban
Southamptonben	száuszhemptönben
Southeastern Bell	száusz-ísztörn bell
Southern	száuszörn
Southland Mellből	száuszlend mellből
Southwestern	száuszvesztern
Sovereign	szuveréjn
Spaatz	szpátc
Space	szpéjsz
Space Studies	szpéjsz sztádíz
Spalato	szpálátó
Spalatóba	szpálátóba
Spanyol	spanyol
Spanyolország	spanyol-ország
Sparapani	szpárápáni
Sparkassen	szpárkásszen
Sparks	szpárksz
Spartacus	szpártákusz
SPD	esz-pé-dé
Spear	szpír
Spears	szpírsz
Special Troopshoz	szpesöl trúpszhoz
Speckle	szpekl
Specnaz	szpetcnáz
Spee	szpré
Speer	spér
Spencer	szpenszer
Spengler	speng-ler
Spergel	szpergel
Sperlinget	szpörlinget
Speyer	spejjer
Speyerben	szpejerben
Sphakteira	szfáktejra
Sphinx	szfinksz
Spica	szpíka
Spice	szpájsz
Spiegelben	spígelben
Spiegelnek	spígelnek
Spina	szpíná
Spinalé Trunco	szpinálé tránkó
Spinalé Truncót	szpinálé tránkót
Spiner	szpinör
Spinne	szpíne
Spinoza	shpi-nóza
Spiritusfabriks	spiritusz fábriksz
Spitfire	szpitfájör
Spitzbergákon	spic-bergákon
SPLIT CITY	szplit sziti
Spokaneben	szpókéjnben
Spot	szpot
Spree	szpré-j
Sprembergbe	szprem-bergbe
Springfield	szpringfíld
Springs	szpringsz
Spruance	szprúönsz
Spurgen	szpörgen
Spurinna	szpurinna
Spurius Cassius	szpúrijusz tcézár
Spydercó	szpájderkó
Spyderco Civilian	szpájderkó szivilijen
squadro	szkvádró
Squolnshellus Zétán	szkvorn-sellusz zétán
Squomshellus	szkvorn-sellusz
Squornrhellusi Mocsárnyelv	szkvorn-selluszi mocsárnyelv
Squornshelloiis Delta	szkvorn-sellojisz delta
Squornshellous Bétán	szkvorn-sellojisz béta
Squornshellus	szkvorn-sellusz
Srebrenica	szrebrenyica
Srinivasa Ramanujan	szrinivászá rámánuján
SS	eszesz
SSC	eszeszszí
St. Louis	szenlujisz
Stackmaiur	szták-májőr
Stadtluft macht frei	státtluft máht fráj
Staff	szteff
Stafford	szte-ford
Stafford Cripps	sztefford kripsz
Staffordtól	szteffordtól
Stagg Field	sztágg fíld
Stagyar	sztágjár
Stalag Luft	stalag luft
Stammer	sztám-mer
Stamos	sztámosz
Stan	szten
Standard	sztenderd
Standley	sztendli
Stanford	sztenford
Stanford White	sztenford vájt
Stanislaw Ulam	sztániszláv ulem
Stanley	sztenli
Stanmore	sztenmór
Stanzákat	sztancákat
Star Line	sztár lájn
Star Trek	sztár trekk
Starbucks	sztárbáksz
Starckmann	sztrek-men
Starhemberg	sztárem-berg
Stark	sztárk
Starkweather	sztárkvedör
Starkweather-Moore	sztárkvedör múr
Starling	sztárling
Star-Spangled Banner	sztár szpregöld bennör
Startron	sztárton
startup	sztártáp
State	széjt
State Street Mallen	sztéjt sztrít málön
Statesman	sztéjtszmen
Stavisky	sztáviszki
Stavro	sztávró
Stavromula	sztávromúla
Stavrót	sztávrót
Steal	szíl
Steel Company	sztíl kámpöni
Stefan Razvan	sztefán rászván
Stefánia	shtefánia
Stefanie Komossa	sztefáni kámossza
Stefanó	sztefánó
Stegbartle	sztegbártöl
Steinberg	stejn-berg
Steindl	shtejdl
Steinhardt	shtejn-hárt
Steinmetz	stejn-mec
Steinville	shtejn-vill
Stella	sztellá
Stephanus	sztefánusz
STEPHANUS REX	sztefánusz reksz
Stephen	sztefen
Stephen Crane	sztefen krén
Stephen Fulling	szteven fulling
Stephen Grover Cleveland	sztefen gróver klívlend
Stephen Hawking	sztívön hóking
Stephen Langtont	sztivön lengtont
Stephen Rubin	sztefen rubin
Stephenson	sztívönszon
Sterling	sztörling
Stethelost	sztetloszt
Stettin	stettin
Stettiniusnak	sztettiniusznak
Steuben	shtójben
Steve Bannon	sztív benön
Steve Jobs	szív dzsobsz
Steven Spielberg	sztívün szpílberg
Stevenson	sztívönzon
Stevie Wonder	sztívi vándör
Stewart	sztyúárt
Steyer	sztejer
Stibor	shtibor
Stieröchsel	stír-ösel
Stilicho	sztílikó
Stimson	sztimszon
Stin	szín
Stinnes	sztájnsz
Stirlingek	sztörlingek
Stith Thompson	sztisz tomzon
Stockfish	sztokfish
Stockum	sztokkum
Stojadinovic	sztojádinovics
Stoker	sztoker
Stolo	szóló
Stonbridge	sztónbridzs
Stone	sztón
Stone Slone	sztón szlón
Stonebridge	sztónbridzs
Stonehenge	sztónhendzs
Stonehinge Villák	sztónhindzs villák
Stony Brook	sztoni brúk
Stop	sztop
Storch	sztórcs
Store	sztór
Stork	sztork
Storno	sztornó
Strabag	shtrabag
Strabo	sztrábó
Strafford	sztráf-fórd
Strahurai	shtra-hurai
Strang	sztreng
Stranraerból	sztranrarből
Strasbourg-Metz	strasz-búrg metc
Strassenfressen	sztrásszen-fresszen
Strassert	strász-szert
Strattmann	shtrátt-mán
Street	sztrít
Streetre	sztrítre
Stresa	stresszá
Stresában	sztreszában
stresai front	streszaji frónt
Stresemann	stressze-man
Stretch	sztecs
Striker	sztrájkör
Strinder	sztrinder
Stringfellow	sztringfeló
Striterax Titán Páncélördögei	sztriteráksz titán páncélördögei
Striteraxon	sztriterákszon
Stroessner	strösszner
Strominger	sztominger
Stronti	sztronti
Struensee	sztrűenzé
Strycker	sztrájkör
Stryk Lycomdan Tsing	sztrük lükomdán csing
STSI	esztíesz-í
Stuart	sztúárt
Stuart Krichevsky	sztyúárt kirshevszki
Stuart Mill	sztyúárt mill
Studebaker	sztádöbékör
Studiolo	sztudijóló
Studioló	sztudijóló
Studying	sztádiing
Stülpnagel	stűlp-nágel
Stumpf	shtumf
Stürgkh	stürgk
Sturmrnan	stúrman
Suarezben	szuárezben
Subasic	szubasics
Subasiccsal	szubasiccsal
Subasicot	szubasicsot
Subasicra	szubasicsra
Subud	szábád
Suchman	zuh-man
Suchy	szuhhe
Sucre	szukré
Suddhódana	szuddódáná
Suetoniusnál	szvetóniusznál
Suetoniust	szvetóniuszt
Suffolk County Land Company	száfolk káuntri lánd kámpöni
Suger	szüzser
Suicide	suicide
Sujszkij	szújszkíj
Sukarno	szukárnó
Sulchán Áruchot	zulhán áruhot
Sulginak	szulginak
Sulijoo	szulidzsú
Sulla	szulla
Sullának	szullának
Sullára	szullára
Sullát	szullát
Sullával	szullával
Sullivan	száliven
Sully	száli
Sumer	sumér
Summa	szummá
Summers	számörsz
Sumner Wellesnek	számnör velsznek
Sumner Wellest	számnör velsznek
Sund	Zund
Sundance	szándensz
Sundar Pichai	szándör picsáj
Sundon	szundon
Suner	szuner
Super	szupör
Superbus	szuperbusz
Superconducting Supercollider	szuperkondákting szuperkolájder
Superga	szupergá
Superioré	szuperioré
Superiornak	szuperiornak
Supernaturalist	szupernaturaliszt
Supernova	szupernóva
Suppiluliuma	szuppilúlijuma
Surtur	szörtör
Survey	szörvéj
Susan	szúzön
Susan Beneschsel	szúzön benesh-shel
Susan Desmond-Hellmann	szúzön dezmond hellmen
Susquehanna	szászkveháná
Sussex	szászeksz
Sussexet	szászekszet
Sutler	szátlör
Suvich	szuvics
Suzuki	szuzuki
Svante Arrhenius	szvent áreniusz
Svedagon	szvedágon
Svedberg	szved-berg
Sviár	szvijár
Swami Vivekananda	svámi vivekanada
Swarthmore College	szvártmór kálidzs
Sweezy	szvízi
Swettenham	szvettenhám
Swianiewicz	szvijányevitc
Swieten	shvíten
Swift-Tuttle	szvift tátöl
Swinemünde	svájne-münde
Swinemündétől	svájnemündétől
Swisher	szvisher
Swordfish	szvórdfis
Swullingról	szvállingról
SXT	esikszté
Sycophantasia 	szikofantázija
Sydney Pollack	szidni polák
Sygarius	szügárijusz
Sykes-Picot	szájksz píkő
Symphonia	simfónia
Syracuse Herald	szirákjúz heröld
Syria	szírija
Syrovy	sziroví
Systrom	szisztöm
Szamuely Tibor	szamueli tibor
Szanhedrin	szán-hedrin
Szanyko	szankó
Szapphó	szaffó
Szarajevóban	szaraj-evóban
Szasa	szása
Szasá	szásá
SZDP	esz-dé-pé
SZDSZ	eszdéesz
Széchy	szécsi
Szeder	sze-der
Szefforisz	szeffo-risz
Szép Helené	szép heléna
Szergej Krasznyikov	szergej krasznikov
Szerjozsa	szerjózsa
Szerjozsá	szerjózsá
Szídi-Rezegh	szídi rezeg
Szídi-Szulajman	szídi szulejmán
Szie	szije
Szity	szity
SZKP	eszkápé
SZKT	esz-ká-té
Szlartibartfaszt	szlartibártfászt
Szluckij	szlutc-kíj
Szonya	szonnya
Szophoklész	szofoklész
SZSZK	eszeszká
SZSZKSZ	eszeszkáesz
SZT	eszté
Sztageiroszban	szágejroszban
Sztoa Poikilé	sztoa pojkilé
Sztójay	szójai
Szüénében	szüé-nében
Szuzdalig	szuzdálig
Szvjatoszlav	szvjátoszláv
Szvjatoszláv	szvjátoszláv
Taaffe	táffe
Taaffét	táffét
Tabgha	tab-gha
Tabor	tábor
Tadeus	tádeusz
Tadeus Kosciuszko	tádeusz kosz-ciusz-kó
Tadeusz Romer	tádeusz rómmer
Tageblatt	tágeblátt
Taglalat	taglalat
Tagliozzónál	táglijoddzó
Taksasila	takszaszila
Taksony	taksony
Talasz	tálász
Tallinn	tal-lin
Tallinnba	tal-linba
Tallóciak	talócijak
Talmud	tal-mud
TAMA	tama
Tamara	tam-ara
Tamash	támás
Tamnek	temnek
Tanaka	tan-aka
Tanaria	tánárijá
Tang	táng
Tanngrisnir	Tangrisznir
Tanngrisniti	tangriszniri
Tannhauser	tánn-hauzer
Tanquerey	tenkörí
Tarantino	tárántínó
Taranto	tárántó
Tarantótól	tárántótól
Tarawa	tárává
Tardieu	tárgyijő
Tardisra	tárdiszra
Tarentum	tárentum
Tarhos	tar-hos
Tari	ta-ri
Tarik	tárik
Tarmgrisnir	tárngrisznir
Tarpon	tar-pon
Tarquinii	tárkvínii
Tarquinius	tárkvínijusz
Tarquinius Superbus	tárkvíniusz szuperbusz
Tarsis	társzisz
Tary Rupert	ta-ri rúpert
Tasmania	tasmánia
Tasmaniában	tasmániában
Tassigny	tásszíni
TASZSZ	tassz
Tata	ta-ta
Tatarcsenko	tatárcsenkó
Tatyjana	tátyáná
Taylor	télor
TBC	tébétcé
TDK	tédéká
Teatro	teátró
Tebrizig	tebricig
Technology	teknolodzsi
Technology Industry Council	teknolodzsi indásztri káunszil
Techonomy	tehonomi
Tecumseh	tekumszeh
TED	ted
Tedder	ted-der
Tedeschi	tedeszki
Tegetthoff	tegett-hoff
Telefunken	tele-funken
Telegram	telegramm
Telegraph	telegráf
Telegraph Company	telegráf kámpöni
Telemakhoszt	télemakhoszt
Telepszichopatikus	tele-pszihopatikus
Telescope	teleszkóp
Telex	teleksz
Tell	tell
Teller	tel-ler
TEM	té-e-em
Temes	temesh
Tencent	tenszent
Tenkes	ten-kes
TENL	té-e-en-el
Tenochtitlan	tenok-titlán
Teotihuacan	teoti-huákán
Tepes	tepesh
Terbosco	ter-boszkó
Terentius	terencijusz
Természetéről	természe-téről
Terra Nova	terra nóva
Terra Salvaesche	terrá szálvájeszke
Terry Yoise	terri józi
Terry Yosie	terri józi
tertia	ter-tcijá
Teschen	tes-sen
Tesla	teszla
Teslának	teszlának
Test Valleyn	teszt vellin
Tetsuo Goto	tetcuó gotó
Teufel	tójfel
Teuffel	tójfel
Tevere	tev-ere
Texas	tekszász
Texasban	tekszászban
Texcoco	teksz-kokó
Tezcatlipoca	teszkátlipoká
Thallus	tállusz
Thalmann	tálmán
Thaly	táli
Thant	tánt
Thapsus	tápszusz
Tharp	tárp
Thaszosz	tásszosz
Thatcher	szecsör
The Army	dö ármi
The Complete Roman Legions	dö kámplít rómen lídzsönsz
The Crucifixion	dö krutcifikshön
The Death	dö desz
The Final Days	dö fájnöl déjz
The Historical Jesus	dö hisztóriköl dzsízösz
The Joy	dö dzsój
The New York Times	dö nyú york tájmsz
The Resurrection	dö rezörekshön
The Roman Army	dö rómen ármi
The Sage	dö szédzs
The Trials	dö trájölz
Thefacebook	dö féjszbúk
Theobald	tiobáld
